year type stratum sex age value 
2011 N 1 1 3 46.1762
2011 N 1 1 4 1234.75
2011 N 1 1 5 2318.5
2011 N 1 1 6 414.036
2011 N 1 1 7 46.8189
2011 Biomass 1 1 3 46.1762
2011 Biomass 1 1 4 1234.75
2011 Biomass 1 1 5 2318.5
2011 Biomass 1 1 6 414.036
2011 Biomass 1 1 7 46.8189
2011 N_Kimura   1 1 3 46.1762
2011 N_Kimura   1 1 4 1234.75
2011 N_Kimura   1 1 5 2318.5
2011 N_Kimura   1 1 6 414.036
2011 N_Kimura   1 1 7 46.8189
2011 avg_wt_age 1 1 3 1
2011 avg_wt_age 1 1 4 1
2011 avg_wt_age 1 1 5 1
2011 avg_wt_age 1 1 6 1
2011 avg_wt_age 1 1 7 1
2011 N 1 2 3 59.3537
2011 N 1 2 4 1038.3
2011 N 1 2 5 1561.98
2011 N 1 2 6 523.629
2011 N 1 2 7 33.9474
2011 Biomass 1 2 3 59.3537
2011 Biomass 1 2 4 1038.3
2011 Biomass 1 2 5 1561.98
2011 Biomass 1 2 6 523.629
2011 Biomass 1 2 7 33.9474
2011 N_Kimura   1 2 3 59.3537
2011 N_Kimura   1 2 4 1038.3
2011 N_Kimura   1 2 5 1561.98
2011 N_Kimura   1 2 6 523.629
2011 N_Kimura   1 2 7 33.9474
2011 avg_wt_age 1 2 3 1
2011 avg_wt_age 1 2 4 1
2011 avg_wt_age 1 2 5 1
2011 avg_wt_age 1 2 6 1
2011 avg_wt_age 1 2 7 1
2011 p 1 1 3 0.00634508
2011 p 1 1 4 0.169666
2011 p 1 1 5 0.318585
2011 p 1 1 6 0.0568928
2011 p 1 1 7 0.00643338
2011 p 1 2 3 0.00815579
2011 p 1 2 4 0.142674
2011 p 1 2 5 0.214631
2011 p 1 2 6 0.071952
2011 p 1 2 7 0.00466471
2011 N 2 1 3 46.4236
2011 N 2 1 4 656.19
2011 N 2 1 5 217.974
2011 N 2 1 6 0
2011 N 2 1 7 0
2011 Biomass 2 1 3 46.4236
2011 Biomass 2 1 4 656.19
2011 Biomass 2 1 5 217.974
2011 Biomass 2 1 6 0
2011 Biomass 2 1 7 0
2011 N_Kimura   2 1 3 46.4236
2011 N_Kimura   2 1 4 656.19
