year type stratum sex age value 
2016 N 1 1 3 281.511
2016 N 1 1 4 4543.55
2016 N 1 1 5 4741.48
2016 N 1 1 6 424.44
2016 N 1 1 7 52.363
2016 Biomass 1 1 3 281.511
2016 Biomass 1 1 4 4543.55
2016 Biomass 1 1 5 4741.48
2016 Biomass 1 1 6 424.44
2016 Biomass 1 1 7 52.363
2016 N_Kimura   1 1 3 281.511
2016 N_Kimura   1 1 4 4543.55
2016 N_Kimura   1 1 5 4741.48
2016 N_Kimura   1 1 6 424.44
2016 N_Kimura   1 1 7 52.363
2016 avg_wt_age 1 1 3 1
2016 avg_wt_age 1 1 4 1
2016 avg_wt_age 1 1 5 1
2016 avg_wt_age 1 1 6 1
2016 avg_wt_age 1 1 7 1
2016 N 1 2 3 234.466
2016 N 1 2 4 3299.46
2016 N 1 2 5 2920.67
2016 N 1 2 6 569.105
2016 N 1 2 7 23.9365
2016 Biomass 1 2 3 234.466
2016 Biomass 1 2 4 3299.46
2016 Biomass 1 2 5 2920.67
2016 Biomass 1 2 6 569.105
2016 Biomass 1 2 7 23.9365
2016 N_Kimura   1 2 3 234.466
2016 N_Kimura   1 2 4 3299.46
2016 N_Kimura   1 2 5 2920.67
2016 N_Kimura   1 2 6 569.105
2016 N_Kimura   1 2 7 23.9365
2016 avg_wt_age 1 2 3 1
2016 avg_wt_age 1 2 4 1
2016 avg_wt_age 1 2 5 1
2016 avg_wt_age 1 2 6 1
2016 avg_wt_age 1 2 7 1
2016 p 1 1 3 0.0164713
2016 p 1 1 4 0.265845
2016 p 1 1 5 0.277426
2016 p 1 1 6 0.0248342
2016 p 1 1 7 0.00306378
2016 p 1 2 3 0.0137187
2016 p 1 2 4 0.193053
2016 p 1 2 5 0.17089
2016 p 1 2 6 0.0332986
2016 p 1 2 7 0.00140053
2016 N 2 1 3 74.4911
2016 N 2 1 4 314.78
2016 N 2 1 5 75.1087
2016 N 2 1 6 0
2016 N 2 1 7 0
2016 Biomass 2 1 3 74.4911
2016 Biomass 2 1 4 314.78
2016 Biomass 2 1 5 75.1087
2016 Biomass 2 1 6 0
2016 Biomass 2 1 7 0
2016 N_Kimura   2 1 3 74.4911
2016 N_Kimura   2 1 4 314.78
2016 N_Kimura   2 1 5 75.1087
2016 N_Kimura   2 1 6 0
2016 N_Kimura   2 1 7 0
2016 avg_wt_age 2 1 3 1
2016 avg_wt_age 2 1 4 1
2016 avg_wt_age 2 1 5 1
2016 avg_wt_age 2 1 6 0
2016 avg_wt_age 2 1 7 0
2016 N 2 2 3 21.4003
2016 N 2 2 4 245.904
2016 N 2 2 5 23.0098
2016 N 2 2 6 1.06128
2016 N 2 2 7 0
2016 Biomass 2 2 3 21.4003
2016 Biomass 2 2 4 245.904
2016 Biomass 2 2 5 23.0098
2016 Biomass 2 2 6 1.06128
2016 Biomass 2 2 7 0
2016 N_Kimura   2 2 3 21.4003
2016 N_Kimura   2 2 4 245.904
2016 N_Kimura   2 2 5 23.0098
2016 N_Kimura   2 2 6 1.06128
2016 N_Kimura   2 2 7 0
2016 avg_wt_age 2 2 3 1
2016 avg_wt_age 2 2 4 1
2016 avg_wt_age 2 2 5 1
2016 avg_wt_age 2 2 6 1
2016 avg_wt_age 2 2 7 0
2016 p 2 1 3 0.0985651
2016 p 2 1 4 0.41651
2016 p 2 1 5 0.0993823
2016 p 2 1 6 0
2016 p 2 1 7 0
2016 p 2 2 3 0.0283165
2016 p 2 2 4 0.325375
2016 p 2 2 5 0.0304461
2016 p 2 2 6 0.00140427
2016 p 2 2 7 0
2016 N 3 1 3 638.507
2016 N 3 1 4 1671.29
2016 N 3 1 5 101.336
2016 N 3 1 6 1.8211
2016 N 3 1 7 0
2016 Biomass 3 1 3 638.507
2016 Biomass 3 1 4 1671.29
2016 Biomass 3 1 5 101.336
2016 Biomass 3 1 6 1.8211
2016 Biomass 3 1 7 0
2016 N_Kimura   3 1 3 638.507
2016 N_Kimura   3 1 4 1671.29
2016 N_Kimura   3 1 5 101.336
2016 N_Kimura   3 1 6 1.8211
2016 N_Kimura   3 1 7 0
2016 avg_wt_age 3 1 3 1
2016 avg_wt_age 3 1 4 1
2016 avg_wt_age 3 1 5 1
2016 avg_wt_age 3 1 6 1
2016 avg_wt_age 3 1 7 0
2016 N 3 2 3 589.641
2016 N 3 2 4 1000.71
2016 N 3 2 5 74.7821
2016 N 3 2 6 1.17268
2016 N 3 2 7 0
2016 Biomass 3 2 3 589.641
2016 Biomass 3 2 4 1000.71
2016 Biomass 3 2 5 74.7821
2016 Biomass 3 2 6 1.17268
2016 Biomass 3 2 7 0
2016 N_Kimura   3 2 3 589.641
2016 N_Kimura   3 2 4 1000.71
2016 N_Kimura   3 2 5 74.7821
2016 N_Kimura   3 2 6 1.17268
2016 N_Kimura   3 2 7 0
2016 avg_wt_age 3 2 3 1
2016 avg_wt_age 3 2 4 1
2016 avg_wt_age 3 2 5 1
2016 avg_wt_age 3 2 6 1
2016 avg_wt_age 3 2 7 0
2016 p 3 1 3 0.156525
2016 p 3 1 4 0.409704
2016 p 3 1 5 0.0248418
2016 p 3 1 6 0.000446429
2016 p 3 1 7 0
2016 p 3 2 3 0.144546
2016 p 3 2 4 0.245316
2016 p 3 2 5 0.0183323
2016 p 3 2 6 0.000287473
2016 p 3 2 7 0
2016 N  1 99 3 515.977
2016 N  1 99 4 7843.02
2016 N  1 99 5 7662.15
2016 N  1 99 6 993.545
2016 N  1 99 7 76.2995
2016 a  1 99 3 1
2016 a  1 99 4 1
2016 a  1 99 5 1
2016 a  1 99 6 1
2016 a  1 99 7 1
2016 N  2 99 3 95.8914
2016 N  2 99 4 560.684
2016 N  2 99 5 98.1184
2016 N  2 99 6 1.06128
2016 N  2 99 7 0
2016 a  2 99 3 1
2016 a  2 99 4 1
2016 a  2 99 5 1
2016 a  2 99 6 1
2016 a  2 99 7 0
2016 N  3 99 3 1228.15
2016 N  3 99 4 2672
2016 N  3 99 5 176.118
2016 N  3 99 6 2.99377
2016 N  3 99 7 0
2016 a  3 99 3 1
2016 a  3 99 4 1
2016 a  3 99 5 1
2016 a  3 99 6 1
2016 a  3 99 7 0
2016 N 99 1 3 994.509
2016 N 99 1 4 6529.62
2016 N 99 1 5 4917.92
2016 N 99 1 6 426.261
2016 N 99 1 7 52.363
2016 a 99 1 3 1
2016 a 99 1 4 1
2016 a 99 1 5 1
2016 a 99 1 6 1
2016 a 99 1 7 1
2016 N 99 2 3 845.507
2016 N 99 2 4 4546.07
2016 N 99 2 5 3018.47
2016 N 99 2 6 571.339
2016 N 99 2 7 23.9365
2016 a 99 2 3 1
2016 a 99 2 4 1
2016 a 99 2 5 1
2016 a 99 2 6 1
2016 a 99 2 7 1
2016 N 99 99 3 1840.02
2016 N 99 99 4 11075.7
2016 N 99 99 5 7936.39
2016 N 99 99 6 997.601
2016 N 99 99 7 76.2995
2016 a 99 99 3 1
2016 a 99 99 4 1
2016 a 99 99 5 1
2016 a 99 99 6 1
2016 a 99 99 7 1
