1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
data/age1991.dat	data/age1992.dat	data/age1993.dat	data/age1994.dat	data/age1995.dat	data/age1996.dat	data/age1997.dat	data/age1998.dat	data/age1999.dat	data/age2000.dat	data/age2001.dat	data/age2002.dat	data/age2003.dat	data/age2004.dat	data/age2005.dat	data/age2006.dat	data/age2007.dat	data/age2008.dat	data/age2009.dat	data/age2010.dat	data/age2011.dat	data/age2012.dat	data/age2013.dat
data/len1991.dat	data/len1992.dat	data/len1993.dat	data/len1994.dat	data/len1995.dat	data/len1996.dat	data/len1997.dat	data/len1998.dat	data/len1999.dat	data/len2000.dat	data/len2001.dat	data/len2002.dat	data/len2003.dat	data/len2004.dat	data/len2005.dat	data/len2006.dat	data/len2007.dat	data/len2008.dat	data/len2009.dat	data/len2010.dat	data/len2011.dat	data/len2012.dat	data/len2013.dat
12850	8210	6231	6690	5604	7075	3619	6406	32427	59725	68417	68387	70152	38252	37022	34767	35569	26481	23883	25284	39992	35597	34141
221823	200754	132926	146580	162291	184228	175367	221335	118694	197961	230264	233598	236402	234406	224169	225498	228450	191027	174217	143687	237794	210141	196905
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1186745.785	1381993.37	1319016.204	1322027.669	1257643.378	1186361.624	1118780.789	1095315.426	984099.1677	1125963.817	1378847.481	1471363.13	1481967.782	1471808.4	1474428.447	1477613.928	1346234.081	984697.1884	803162.6423	805350.0487	1192122.148	1198329.014	1263135.668
5298.96406	4581.42902	1391.59419	1657.51	883.10377	1041.34513	3021.79704	1336.47501	2025.58127	2741.6902	3172.0632	2837.70272	4061.22804	3398.8317	5605.47869	6406.65637	5634.98461	4630.73982	3701.10292	3560.71354	3492.31024	4814.73131	4803.32658
3563.5297	3756.11116	6192.86134	5664.69054	5718.05792	5375.44149	2627.82904	4513.55192	3691.16507	4001.53123	5174.10728	5991.89059	4870.63615	5335.29597	3251.83698	2414.73844	2228.09549	1237.71176	1082.86377	1304.44376	3458.42582	2386.97564	2806.57386
Est_1991.dat	Est_1992.dat	Est_1993.dat	Est_1994.dat	Est_1995.dat	Est_1996.dat	Est_1997.dat	Est_1998.dat	Est_1999.dat	Est_2000.dat	Est_2001.dat	Est_2002.dat	Est_2003.dat	Est_2004.dat	Est_2005.dat	Est_2006.dat	Est_2007.dat	Est_2008.dat	Est_2009.dat	Est_2010.dat	Est_2011.dat	Est_2012.dat	Est_2013.dat
