"yr" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"1" 1982 0.0273751 0.0644457 0.167544 0.382766 0.520168 0.814875 1.10538 1.15935 1.3391 1.46225 1.55498 1.61355 1.8128 1.59991 2.43862
"2" 1983 0.0191823 0.0754615 0.224449 0.361188 0.517672 0.682662 0.94697 1.23349 1.34401 1.33459 1.42297 1.40259 1.65677 1.48185 1.75388
"3" 1984 0.0218215 0.0417913 0.269416 0.35258 0.485725 0.635798 0.864378 1.22039 1.42094 1.55014 1.77979 1.77841 1.62766 1.53606 2.03616
"4" 1985 0.0213833 0.0512089 0.257783 0.41647 0.513193 0.674085 0.855502 1.08517 1.58167 1.35342 1.53337 1.81721 1.72941 0 2.46813
"5" 1986 0.0191218 0.04597 0.172808 0.375748 0.478112 0.659998 0.753644 0.915812 1.11097 1.50837 1.48804 1.79177 0 2.16491 0
"6" 1987 0.0157312 0.0957644 0.262959 0.360909 0.448955 0.57816 0.754466 0.876685 0.984087 1.15562 1.40961 1.50637 1.8869 2.09916 2.24528
"7" 1988 0.0206381 0.0715879 0.304231 0.366004 0.479701 0.538133 0.626298 0.796647 0.880358 1.08792 1.33762 1.31828 1.81339 1.19244 1.62574
"8" 1989 0.0239565 0.0587994 0.170239 0.377925 0.457496 0.543802 0.658945 0.723717 0.996037 1.00116 1.146 1.1965 1.20335 1.25708 1.29269
"9" 1990 0.0225129 0.0429648 0.189484 0.366807 0.485658 0.563596 0.611749 0.746259 0.857289 1.10837 1.17156 1.2425 1.23506 1.43895 1.54197
"10" 1991 0.0213635 0.0711332 0.185645 0.403271 0.562922 0.649335 0.760999 0.819946 0.960515 1.02566 1.25535 1.38892 1.4756 1.69384 1.87738
"11" 1992 0.0244497 0.068883 0.295309 0.412884 0.549859 0.645705 0.806845 0.879041 0.977357 1.03939 1.1874 1.35384 1.53974 1.46036 1.53755
"12" 1993 0.0184898 0.0413669 0.27912 0.458109 0.524847 0.602285 0.719852 0.830236 0.979623 1.03433 1.16778 1.26744 1.43152 1.56439 1.72325
"13" 1994 0.0199308 0.0627307 0.231376 0.446236 0.576325 0.658337 0.760095 1.00554 1.17628 1.15013 1.19859 1.34734 1.3929 1.52267 1.61898
"14" 1995 0.0203831 0.0317305 0.12951 0.37491 0.496254 0.651755 0.695884 0.915143 1.05507 1.2864 1.25808 1.37757 1.40188 1.43997 1.64495
"15" 1996 0.0213725 0.0583712 0.145953 0.333803 0.503358 0.601566 0.739812 0.825555 0.976118 1.07489 1.31655 1.40366 1.49983 1.54951 1.66058
