"yr" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"1" 1991 0 0.148857 0.289816 0.486928 0.609206 0.730632 0.846872 0.877698 1.01856 1.11518 1.13551 1.22417 1.24532 1.27919 1.24147
"2" 1992 0 0.184989 0.397949 0.462255 0.635082 0.709516 0.808792 0.99176 1.03017 1.20434 1.23199 1.27817 1.19221 1.36357 1.46472
"3" 1993 0 0.3536 0.495335 0.610066 0.659687 0.774531 0.933237 1.04935 1.21386 1.23548 1.3926 1.54358 1.5903 1.65019 1.54353
"4" 1994 0.04 0.242304 0.401276 0.648765 0.728682 0.754831 0.713549 1.09338 1.38469 1.36915 1.3431 1.37176 1.39033 1.25908 1.32594
"5" 1995 0 0.157051 0.384608 0.496645 0.730465 0.84366 0.849084 0.99112 1.24859 1.30703 1.43153 1.42651 1.39322 1.07868 1.31478
"6" 1996 0 0.30721 0.325092 0.420464 0.675025 0.79041 0.946863 0.958381 1.02945 1.08569 1.3907 1.44047 1.52909 1.74438 1.48064
"7" 1997 0.05 0.18774 0.321128 0.479581 0.558869 0.750169 0.895845 1.0767 1.08813 1.20152 1.34861 1.39005 1.65219 1.40221 1.37384
"8" 1998 0 0.176764 0.368287 0.582089 0.627012 0.617772 0.76794 1.02028 1.15811 1.26075 1.28027 1.47998 1.41033 1.42802 1.47735
"9" 1999 0 0.193615 0.404092 0.507564 0.642581 0.699607 0.729973 0.893526 1.03395 1.25519 1.25328 1.43008 1.12815 0 1.27689
"10" 2000 0 0.218508 0.357207 0.52432 0.62991 0.728678 0.782138 0.806468 0.970905 1.00857 1.25201 1.2653 1.32236 1.46279 1.71491
"11" 2001 0 0.269485 0.329195 0.503658 0.666767 0.78686 0.958172 0.990261 1.0614 1.13048 1.32074 1.43324 1.58631 1.47914 1.58412
"12" 2002 0.0897772 0.240356 0.382545 0.50972 0.672984 0.796885 0.910738 1.02608 1.11793 1.09781 1.2944 1.44581 1.59043 1.32844 1.70286
"13" 2003 0 0.298199 0.485599 0.552363 0.648833 0.767078 0.864138 0.953822 1.08099 1.19616 1.2093 1.19574 1.33094 1.40391 1.69108
"14" 2004 0 0.1075 0.404703 0.583274 0.641327 0.764929 0.889488 0.92136 1.03581 1.14962 1.10979 1.16148 1.34314 1.23676 1.21573
"15" 2005 0 0.270273 0.351081 0.508177 0.640323 0.740205 0.885384 0.95543 1.06164 1.07463 1.18883 1.27834 1.21961 1.13448 1.3982
"16" 2006 0 0.187854 0.308583 0.448283 0.605418 0.757852 0.857067 0.95193 1.06532 1.11673 1.20991 1.20152 1.28104 1.44097 1.42877
"17" 2007 0.0606138 0.16749 0.347051 0.509099 0.640845 0.784388 0.958402 1.0921 1.18695 1.28263 1.33173 1.49727 1.39454 1.73901 1.53141
"18" 2008 0 0.172986 0.329188 0.521114 0.651538 0.771959 0.904003 1.05036 1.11843 1.28939 1.43146 1.53765 1.56399 1.88159 1.64581
"19" 2009 0 0.133508 0.342561 0.524611 0.713988 0.875288 0.993233 1.13117 1.40232 1.47487 1.60275 1.60673 1.79955 2.11464 2.22392
"20" 2010 0.0491723 0.173489 0.378045 0.489267 0.665883 0.904327 1.12338 1.26621 1.34823 1.57701 1.70947 1.92199 1.9398 2.1139 2.29036
"21" 2011 0 0.201687 0.290036 0.509059 0.665492 0.808027 0.973684 1.2251 1.34333 1.51997 1.58388 1.61793 2.16246 1.76675 2.27063
"22" 2012 0 0.142126 0.270484 0.409519 0.642878 0.824435 0.971387 1.16873 1.2984 1.51207 1.61271 1.64522 1.71028 1.9966 2.08486
"23" 2013 0.102392 0.148254 0.288998 0.442186 0.563965 0.780401 1.13062 1.28274 1.42206 1.6947 1.83678 1.80416 1.96093 2.16984 2.18701
"24" 2014 0 0.213079 0.316188 0.454354 0.617045 0.751029 0.892603 1.15339 1.30832 1.36251 1.67918 1.83013 1.73409 1.67113 2.22622
"25" 2015 0 0.170678 0.402778 0.462818 0.570294 0.689955 0.785976 0.886717 1.14446 1.19958 1.36076 1.89804 1.45558 1.61369 2.59437
