"yr" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"1" 1982 614903.439439439 700316.71971972 498656.867867868 853445.462462462 361488.406406406 88951.9105105105 83662.2298298298 49457.3051051051 27929.5144144144 23274.600990991 13669.7277077077 9409.47766766767 3830.98021821822 2604.7037997998 321.436968668669
"2" 1983 2552054.39439439 284304.078078078 231628.953953954 309437.873873874 716340.674674675 253701.372372372 66090.7097097097 51793.3897897898 25520.6700700701 18623.079019019 15274.2378578579 5021.55988688689 3021.30582682683 1945.63081281281 1110.15730600601
"3" 1984 232780.546546547 142386.108308308 111151.120920921 290817.215215215 309458.022022022 695856.119119119 153744.189189189 45020.7394394394 24991.143043043 10411.7584484484 6925.3923023023 3335.30656856857 1605.99562002002 1872.2554018018 1015.51972522523
"4" 1985 2015747.07407407 297515.573573574 305401.079079079 123402.080980981 446357.035035035 323935.867867868 264473.653653654 61849.4823823824 22179.109009009 15197.1934534535 5844.94918618619 2417.18041341341 2370.39034134134 170.250755255255 163.267095885886
"5" 1986 1089236.65165165 372458.960960961 66478.7948948949 222833.527527528 147261.039439439 281269.078078078 261759.533533534 275359.048048048 103321.396196196 18381.9555555556 8182.41914914915 3333.72648788789 278.572746746747 1449.05768118118 0
"6" 1987 175744.844208208 93480.8264264264 95495.1026026026 67448.2418418418 410717.372372372 133638.406506506 181257.095195195 84143.2364364364 340729.55955956 61749.1432432432 22904.1893193193 12244.6329229229 2636.01111811812 1212.82275585586 1150.80080890891
"7" 1988 355031.806806807 123558.922922923 150455.683483484 276747.646646647 132501.704604605 449256.771771772 132428.812812813 119297.585985986 76282.6956956957 206589.151151151 23694.5582182182 14061.7216616617 3260.15867867868 2963.37328148148 2238.43521571572
"8" 1989 436783.541541542 102443.844044044 70551.5778778779 175907.64024024 402529.67967968 86502.8523523523 373422.307307307 59644.9668668669 100151.725925926 37026.0877877878 137610.002102102 24095.2442842843 21507.4707907908 11492.206032032 16736.1902202202
"9" 1990 603794.627627628 92811.1503503503 12298.4028028028 127111.225125125 175552.454054054 530723.635635636 104782.444344344 260774.976976977 30243.7802402402 71117.9333333333 11752.9377877878 111262.141141141 9043.92024824825 7816.13364764765 8232.21113113113
"10" 1991 1160559.17117117 321298.792792793 48308.6189189189 20147.4097997998 104280.093293293 89201.6887887888 273346.712712713 101167.491391391 217856.721721722 57777.9753753754 89942.4365365365 19329.7617917918 61413.6305305305 8814.32423423423 7845.77531631632
"11" 1992 625987.156156156 90325.6317317317 166169.456456456 38047.6025025025 59239.2024024024 114651.268068068 110124.371471471 159673.250850851 79913.732032032 159068.302302302 58895.2804804805 88663.1748748749 40157.421021021 33288.2115115115 22964.4902802803
"12" 1993 1040377.36336336 330611.368368368 149245.553953954 442167.745745746 106794.758858859 88130.060960961 56672.9983983984 92040.1435435436 134395.95025025 80178.482982983 70222.3031031031 50689.9377377377 40606.047047047 21550.4137137137 25932.7327327327
"13" 1994 695120.951951952 282597.680680681 129556.534134134 236904.547547548 581291.365365365 100869.622122122 34620.5605105105 31638.1887587588 37839.8159159159 68500.3947947948 43972.050990991 59729.9644644645 21615.9768368368 23237.0786406406 33101.8707507507
"14" 1995 510928.5005005 139815.762462462 79547.7831831832 186244.727627628 226148.936936937 336501.724724725 143588.324924925 51277.1891891892 37796.0271271271 38320.2113113113 72465.4245245245 30535.999019019 62595.0303303303 28540.169039039 40876.3574574575
"15" 1996 607532.564564565 191621.972072072 52061.0293293293 93617.327027027 269736.5995996 363022.616616617 331488.840840841 109602.872972973 27553.3622522523 31829.9966866867 20574.8853153153 39548.350950951 11786.3962962963 22930.3213713714 30959.2827827828
"16" 1997 1128119.14014014 320983.073273273 48491.793993994 40171.3278078078 478300.790790791 266303.316316316 188892.878778779 246104.70970971 44771.6206906907 21337.6925025025 19107.6861861862 21930.6707107107 33513.2328328328 11804.0422622623 38645.6139139139
"17" 1998 390676.07007007 319627.187187187 136250.08008008 77408.4003003003 125728.261761762 772176.409409409 210956.55025025 134796.958858859 92445.5156156156 23889.3165165165 11735.9183383383 3547.91763663664 8207.66035335335 10013.0462862863 22882.6818718719
"18" 1999 315514.896896897 188567.149149149 160864.708508509 191952.137837838 111329.472772773 189633.493293293 479906.463463463 140285.028528529 72531.248948949 70264.451051051 26047.3695395395 11180.9724194194 6707.68403303303 10800.5665765766 32280.1922922923
"19" 2000 340397.287287287 123475.128528529 96408.047947948 212177.997997998 226079.638638639 128084.095395395 115502.841241241 383859.7997998 141100.631031031 71650.7548548549 35841.3620620621 25273.3961461461 8031.57966966967 4071.17600900901 20876.8128128128
