Year,Detail Record Count,Date Received from AKR,Date Loaded to Repository,Processor Federal Permit,Processor Name,Processor Vessel,Processor Plant/Operation,Vessel Federal Permit,Vessel Name,Vessel Length,Species Group,Species Group Name,Gear,FMP Area,Regulatory Area,FMP Subarea,NMFS Area,Retained/Discarded,# Distinct Processors,# Distinct Vessels,Conf Flag,Catch (mt),Reporting Area Code
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,1607,"""""",GOLDEN ALASKA,,519,VANGUARD,94,YSOL,Yellowfin Sole,PTR,BSAI,Bering Sea,BS,509,Retained,1,1,1,0.00704,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,1607,"""""",GOLDEN ALASKA,,1229,OCEAN LEADER,120,YSOL,Yellowfin Sole,PTR,BSAI,Bering Sea,BS,509,Retained,1,1,1,0.00597,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,1610,"""""",REBECCA IRENE,,1610,REBECCA IRENE,140,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Discarded,1,1,1,2.0362287,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,1610,"""""",REBECCA IRENE,,1610,REBECCA IRENE,140,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Retained,1,1,1,201.5866413,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,1610,"""""",REBECCA IRENE,,1610,REBECCA IRENE,140,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,516,Discarded,1,1,1,0.0739777,516
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,1610,"""""",REBECCA IRENE,,1610,REBECCA IRENE,140,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,516,Retained,1,1,1,7.3237923,516
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,1996,"""""",KATIE ANN,,1996,KATIE ANN,296,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Retained,1,1,1,96.31122,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,1996,"""""",KATIE ANN,,1996,KATIE ANN,296,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Retained,1,1,1,375.28958,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2090,"""""",BLUE GADUS,,2090,BLUE GADUS,152,YSOL,Yellowfin Sole,HAL,BSAI,Bering Sea,BS,521,Discarded,1,1,1,0.00387,521
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2090,"""""",BLUE GADUS,,2090,BLUE GADUS,152,YSOL,Yellowfin Sole,HAL,BSAI,Bering Sea,BS,524,Discarded,1,1,1,0.45734,524
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2110,"""""",CAPE HORN,,2110,CAPE HORN,158,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Discarded,1,1,1,0.10745,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2110,"""""",CAPE HORN,,2110,CAPE HORN,158,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Retained,1,1,1,0.04115,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2110,"""""",CAPE HORN,,2110,CAPE HORN,158,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Retained,1,1,1,66.90951,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2110,"""""",CAPE HORN,,2110,CAPE HORN,158,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,516,Discarded,1,1,1,2.1312,516
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2110,"""""",CAPE HORN,,2110,CAPE HORN,158,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,516,Retained,1,1,1,61.49444,516
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2123,"""""",VAERDAL,,2123,VAERDAL,124,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Retained,1,1,1,3.5481,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2123,"""""",VAERDAL,,2123,VAERDAL,124,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Retained,1,1,1,65.24849,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2123,"""""",VAERDAL,,2123,VAERDAL,124,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,516,Retained,1,1,1,92.00309,516
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2123,"""""",VAERDAL,,2123,VAERDAL,124,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,517,Retained,1,1,1,5.62756,517
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,685,GREEN HOPE,98,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Discarded,1,1,1,1.7651255,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,685,GREEN HOPE,98,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Retained,1,1,1,33.5373845,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,685,GREEN HOPE,98,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Discarded,1,1,1,2.6751512,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,685,GREEN HOPE,98,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Retained,1,1,1,69.3402488,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,2134,OCEAN PEACE,219,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Discarded,1,1,1,3.3711124,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,2134,OCEAN PEACE,219,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Retained,1,1,1,77.4725176,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,2134,OCEAN PEACE,219,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Discarded,1,1,1,20.8574756,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,2134,OCEAN PEACE,219,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,513,Retained,1,1,1,445.6210444,513
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,2134,OCEAN PEACE,219,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,516,Discarded,1,1,1,1.2470825,516
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2134,"""""",OCEAN PEACE,,2134,OCEAN PEACE,219,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,516,Retained,1,1,1,23.6945675,516
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2718,"""""",CLIPPER SURPRISE,,2718,CLIPPER SURPRISE,128,YSOL,Yellowfin Sole,HAL,BSAI,Bering Sea,BS,521,Discarded,1,1,1,0.23043,521
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2733,"""""",SEAFREEZE ALASKA,,2733,SEAFREEZE ALASKA,295,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Retained,1,1,1,0.3156,509
2018,1,2018-02-04 22:28:15,2018-02-08 14:21:14,2733,"""""",SEAFREEZE ALASKA,,3373,ALASKA PROVIDER,171,YSOL,Yellowfin Sole,NPT,BSAI,Bering Sea,BS,509,Retained,1,1,1,0.24985,509
